itin,ttdate,pc2,pc1,occ,cap
7329,-8,.081632651,.14285715,30,49
1583,-43,.02,.02,16,50
5902,-18,.057692308,.057692308,25,52
314,-39,.1,.1,2,40
4654,-52,0,0,7,40
5944,-32,-.0625,-.0625,3,16
7186,0,0,0,35,36
8270,-37,.01923077,.01923077,23,52
8415,-20,.07692308,.07692308,13,26
6523,-37,-.07692308,-.07692308,11,26
8593,-6,0,0,22,26
4672,-15,.033333335,.033333335,24,30
10582,-23,.12,.12,25,50
2371,-28,.34999999,.34999999,21,40
9159,-37,.01923077,.01923077,10,52
6157,-60,0,0,18,40
9147,-24,0,0,20,52
4484,-14,.025,.075000003,19,40
8537,-26,-.03846154,-.03846154,18,26
10495,-50,.03846154,.03846154,8,52
337,-49,.050000001,.050000001,8,40
10431,-5,-.01923077,-.01923077,20,52
829,-1,0,0,2,40
7091,-20,.059999999,.059999999,46,50
8683,-48,0,.050000001,7,40
5779,-3,.025,.075000003,23,40
7370,-39,.057692308,.057692308,18,52
5053,-45,.033333335,.033333335,12,30
4721,-36,.033333335,.033333335,13,30
2813,-8,.1,.15000001,12,40
2793,-8,.175,.175,21,40
6041,-60,-.0625,-.0625,3,16
2190,-5,.075000003,.075000003,32,40
4956,-38,-.03846154,-.03846154,13,26
9727,-6,-.03846154,-.03846154,49,52
7569,-39,0,.050000001,18,40
5610,-52,-.050000001,0,1,40
7131,-21,.039999999,.02,35,50
2397,-41,.1,.1,12,40
4527,-19,-.025,.025,23,40
3491,-6,.07692308,.07692308,23,52
9229,-39,.039999999,.02,27,50
2905,-43,-.055555556,0,12,36
913,-22,0,.050000001,22,40
1530,-36,.033333335,.033333335,9,30
5681,-59,-.050000001,0,4,40
2996,-36,.027777778,.083333336,1,36
9231,-25,.14,.12,24,50
8870,-11,.02,.02,25,50
4523,-35,.050000001,.075000003,23,40
5294,-59,-.02,-.02,12,50
10609,-40,.14,.12,17,50
1827,-25,.12,.1,38,50
8478,-58,-.07692308,-.07692308,15,26
580,-53,.06666667,.06666667,19,30
144,-45,.02,0,15,50
6919,-14,.33333334,.33333334,13,30
103,-53,0,0,4,36
9938,-14,.03846154,.03846154,39,52
3750,-13,-.07692308,-.07692308,20,26
985,-36,0,0,10,39
6999,-37,.033333335,.033333335,19,30
1381,-21,.0625,.0625,5,16
2153,-34,-.03846154,-.03846154,22,26
8010,-46,-.07692308,-.07692308,6,26
7465,-30,.12,.12,29,50
9923,-53,-.025,.025,20,40
4108,-35,.050000001,.050000001,19,40
8267,-16,.01923077,.01923077,44,52
9607,-46,-.03846154,-.03846154,22,52
7365,-47,-.06122449,.06122449,22,49
8300,-18,-.025,.025,30,40
6054,-37,0,0,5,16
8667,-16,.050000001,.1,33,40
10030,-9,.03846154,.03846154,26,52
1164,-56,.033333335,.033333335,5,30
8000,-38,-.07692308,-.07692308,17,26
3529,-43,-.025,.025,3,40
7851,-58,-.07692308,-.07692308,11,26
8517,-41,-.03846154,-.03846154,6,26
342,-54,.025,.025,11,40
6502,-57,-.050000001,0,25,40
9423,-3,.050000001,.1,35,40
4864,-30,0,.050000001,7,40
630,-8,-.03846154,-.03846154,25,26
6508,-27,-.07692308,-.07692308,15,26
5292,-42,-.02,-.02,13,50
6546,-36,-.07692308,-.07692308,14,26
2395,-13,.125,.125,22,40
3809,-8,.125,.125,26,40
229,-22,0,.050000001,6,40
10363,-4,.01923077,.01923077,50,52
2225,-1,.125,.125,27,40
8690,-41,0,.050000001,17,40
5481,-43,-.050000001,0,3,40
2244,-35,.175,.175,9,40
3393,-12,-.01923077,-.01923077,34,52
1617,-59,0,-.02,7,50
5969,-29,.0625,0,11,16
10417,-16,-.03846154,-.03846154,15,52
4841,-2,.175,.175,13,40
930,-24,0,.050000001,23,40
6420,-24,-.050000001,0,7,40
10351,-43,.15384616,.15384616,30,52
6813,-5,.057692308,.057692308,22,52
3199,-57,-.07692308,-.07692308,10,26
305,-26,0,0,8,40
